name,date,author,risk_score,severity,tactic,technique,subtechnique
Excessive Web Traffic,2023/12/11,['LW'],30,low,Discovery,T1046 - Network Service Discovery,none - none
Potential MSF PowerShell Payload Observed,2023/10/11,['LW'],45,high,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Invoke-WebRequest Downloading .BAT File,2023/05/11,['LW'],80,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
PowerShell Execution via a BAT File,2023/07/11,['LW'],50,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.001 - PowerShell
Data Exfiltration Observed via FTP,2023/10/11,['LW'],80,high,Exfiltration,T1020 - Automated Exfiltration,none - none
Suspicious File Added to Registry,2023/05/11,['LW'],90,high,Persistence,T1547 - Boot or Logon Autostart Execution,T1547.001 - Registry Run Keys / Startup Folder
Insert detection name,2023/10/11,['LW'],50,medium,Execution,T1005 - Data from Local System,T1114.002 - Remote Email Collection
Data Archive for Potential Exfil,2023/11/11,['LW'],50,medium,Collection,T1074 - Data Staged,T1074.001 - Local Data Staging
Bat files observed in HTTP Traffic on Unusual Port ,2023/12/11,['LW'],90,medium,Execution,T1059 - Command and Scripting Interpreter,T1059.003 - Windows Command Shell
Suspicious File Written to Temp Directory,2023/06/11,['LW'],80,high,Discovery; Discovery,T1082 - System Information Discovery; T1217 - Browser Information Discovery,none - none; none - none
